epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,991.827,3.47821,7.1059,1.29638,9e-05,0.00038,5e-05,2e-05,3.22353,5.9757,1.34032,1.58956e-05,1.58956e-05,1.58956e-05
133,999.194,3.47609,7.01876,1.30391,8e-05,0.00038,4e-05,1e-05,3.22159,5.96213,1.33708,1.58032e-05,1.58032e-05,1.58032e-05
134,1006.38,3.42357,7.18399,1.30962,8e-05,0.00025,4e-05,1e-05,3.2202,5.96715,1.33483,1.57108e-05,1.57108e-05,1.57108e-05
135,1014.05,3.4154,6.87536,1.31519,6e-05,9e-05,3e-05,1e-05,3.21386,5.96916,1.33377,1.56184e-05,1.56184e-05,1.56184e-05
136,1021.77,3.4933,6.97091,1.28414,7e-05,0.0001,4e-05,1e-05,3.22392,5.97491,1.34043,1.5526e-05,1.5526e-05,1.5526e-05
137,1028.91,3.41458,6.92089,1.29162,9e-05,0.00026,5e-05,1e-05,3.21202,5.96182,1.32708,1.54336e-05,1.54336e-05,1.54336e-05
138,1036.12,3.4324,6.95363,1.30422,0.0001,0.00025,5e-05,1e-05,3.19755,5.97021,1.32216,1.53412e-05,1.53412e-05,1.53412e-05
139,1043.6,3.46959,6.97488,1.29459,6e-05,7e-05,3e-05,1e-05,3.19856,5.98189,1.32683,1.52488e-05,1.52488e-05,1.52488e-05
140,1050.86,3.47804,6.95427,1.29622,0.00011,0.00309,8e-05,1e-05,3.17417,5.95801,1.31157,1.51564e-05,1.51564e-05,1.51564e-05
141,1058.07,3.39471,6.94734,1.3042,9e-05,0.00028,5e-05,1e-05,3.19076,5.93846,1.31685,1.5064e-05,1.5064e-05,1.5064e-05
142,1065.32,3.36201,6.95042,1.2901,8e-05,0.00028,5e-05,1e-05,3.19666,5.93556,1.32497,1.49716e-05,1.49716e-05,1.49716e-05
143,1072.74,3.42629,7.05385,1.29466,0.00018,0.0005,0.0001,2e-05,3.1662,5.93247,1.30638,1.48792e-05,1.48792e-05,1.48792e-05
144,1080.12,3.35761,6.98365,1.29278,0.00024,0.00319,0.00021,3e-05,3.16319,5.93033,1.30484,1.47868e-05,1.47868e-05,1.47868e-05
145,1087.42,3.38702,6.9328,1.29904,0.00015,0.00046,8e-05,2e-05,3.1687,5.92278,1.30794,1.46944e-05,1.46944e-05,1.46944e-05
146,1094.4,3.31877,7.03282,1.31137,0.00015,0.00049,8e-05,2e-05,3.14117,5.89928,1.29366,1.4602e-05,1.4602e-05,1.4602e-05
147,1101.5,3.45329,6.92516,1.27478,0.00019,0.0005,0.0001,2e-05,3.15118,5.91117,1.298,1.45096e-05,1.45096e-05,1.45096e-05
148,1108.83,3.59235,6.95279,1.27167,0.00023,0.00052,0.00012,3e-05,3.14656,5.91124,1.29441,1.44172e-05,1.44172e-05,1.44172e-05
149,1116.16,3.41206,6.93967,1.2922,0.00011,0.00046,7e-05,2e-05,3.17607,5.91744,1.3093,1.43248e-05,1.43248e-05,1.43248e-05
150,1123.32,3.33786,6.94868,1.28775,0.00017,0.00048,9e-05,2e-05,3.15057,5.91245,1.29711,1.42324e-05,1.42324e-05,1.42324e-05
151,1130.9,3.32133,7.00285,1.2789,0.00012,0.00034,7e-05,1e-05,3.17759,5.92413,1.31564,1.414e-05,1.414e-05,1.414e-05
152,1137.97,3.47432,6.96649,1.28938,0.00012,0.00035,7e-05,2e-05,3.17585,5.9262,1.31514,1.40476e-05,1.40476e-05,1.40476e-05
